Smart Lagoon monitoring buoy
Mar Menor, Murcia, Spain

Sensor abbreviations:
EC1550 = EC-1550 ESS Earth Conductivity Sensor
THERMI = Beta Therm 100KSA Thermistor

DATE        TIME(UTC+1)   T(0.5m)    T(1m)      T(1.5m)    T(2m)      T(2.5m)    T(3m)      T(4m)      T(5m)      T(6m)   
                         THERMI     EC1550     THERMI     THERMI     THERMI     EC1550     THERMI     THERMI     EC1550  
yyyy-mm-dd  HH:MM:SS    (deg C)    (deg C)    (deg C)    (deg C)    (deg C)    (deg C)    (deg C)    (deg C)    (deg C) 
2022-10-14  00:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  01:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  02:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  03:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  04:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  05:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  06:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  07:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  08:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  09:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  10:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  11:30:00        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN        NaN
2022-10-14  12:30:00    23.4022    22.9576    22.8331    22.7553    22.6988    22.7904    22.6889    22.7821    22.7963
2022-10-14  13:30:00    23.5290    23.0989    22.8916    22.8241    22.7669    22.8063    22.7463    22.8239    22.8143
2022-10-14  14:30:00    23.3674    23.2124    23.2446    22.9800    22.8548    22.8361    22.7644    22.8553    22.8302
2022-10-14  15:30:00    23.3439    23.3378    23.3792    23.2798    23.0475    22.9218    22.7983    22.8924    22.8660
2022-10-14  16:30:00    23.3314    23.4692    23.3918    23.3457    23.2128    22.9755    22.8390    22.9183    22.8899
2022-10-14  17:30:00    23.4854    23.5349    23.5528    23.4922    23.3012    22.9616    22.8636    22.9451    22.9098
