Date_time,Flow_mean,Discharge
19/11/2020,0,0
20/11/2020,0,0
21/11/2020,0,0
22/11/2020,0,0
23/11/2020,0.0693,5987.52
24/11/2020,0.1075,9288
25/11/2020,0.123,10627.2
26/11/2020,0.1064,9192.96
27/11/2020,0.1288,11128.32
28/11/2020,0.1188,10264.32
29/11/2020,0.1108,9573.12
30/11/2020,0.0328,2833.92
01/12/2020,0,0
02/12/2020,0,0
03/12/2020,0,0
04/12/2020,0,0
05/12/2020,0,0
06/12/2020,0,0
07/12/2020,0,0
08/12/2020,0,0
09/12/2020,0,0
10/12/2020,0,0
11/12/2020,0,0
12/12/2020,0,0
13/12/2020,0,0
14/12/2020,0,0
15/12/2020,0,0
16/12/2020,0,0
17/12/2020,0,0
18/12/2020,0,0
19/12/2020,0,0
20/12/2020,0,0
21/12/2020,0,0
22/12/2020,0,0
23/12/2020,0,0
24/12/2020,0,0
25/12/2020,0,0
26/12/2020,0,0
27/12/2020,0,0
28/12/2020,NA,NA
29/12/2020,NA,NA
30/12/2020,NA,NA
31/12/2020,NA,NA
01/01/2021,NA,NA
02/01/2021,NA,NA
03/01/2021,NA,NA
04/01/2021,NA,NA
05/01/2021,NA,NA
06/01/2021,NA,NA
07/01/2021,NA,NA
08/01/2021,NA,NA
09/01/2021,NA,NA
10/01/2021,NA,NA
11/01/2021,NA,NA
12/01/2021,0.1854,16018.56
13/01/2021,0.182,15724.8
14/01/2021,0.1762,15223.68
15/01/2021,0.1734,14981.76
16/01/2021,0.1692,14618.88
17/01/2021,0.1559,13469.76
18/01/2021,0.1627,14057.28
19/01/2021,0.2065,17841.6
20/01/2021,0.2098,18126.72
21/01/2021,0.1922,16606.08
22/01/2021,0.1437,12415.68
23/01/2021,0.125,10800
24/01/2021,0.1895,16372.8
25/01/2021,0.0484,4181.76
26/01/2021,0,0
27/01/2021,0,0
28/01/2021,0,0
29/01/2021,0,0
30/01/2021,0.0046,397.44
31/01/2021,0.0117,1010.88
01/02/2021,0.0265,2289.6
02/02/2021,0.0535,4622.4
03/02/2021,0.0704,6082.56
04/02/2021,0.0611,5279.04
05/02/2021,0.0396,3421.44
06/02/2021,0.0307,2652.48
07/02/2021,0.0133,1149.12
08/02/2021,0.0007,60.48
09/02/2021,0,0
10/02/2021,0,0
11/02/2021,0,0
12/02/2021,0,0
13/02/2021,0,0
14/02/2021,0,0
15/02/2021,0,0
16/02/2021,0,0
17/02/2021,0,0
18/02/2021,0,0
19/02/2021,0,0
20/02/2021,0,0
21/02/2021,0,0
22/02/2021,0,0
23/02/2021,0,0
24/02/2021,0,0
25/02/2021,0,0
26/02/2021,0,0
27/02/2021,0,0
28/02/2021,0,0
01/03/2021,0,0
02/03/2021,0,0
03/03/2021,0,0
04/03/2021,0,0
05/03/2021,NA,NA
06/03/2021,NA,NA
07/03/2021,NA,NA
08/03/2021,1.3268,114635.52
09/03/2021,0.7846,67789.44
10/03/2021,0.3028,26161.92
11/03/2021,0.2306,19923.84
12/03/2021,0.2307,19932.48
13/03/2021,0.2044,17660.16
14/03/2021,0.1753,15145.92
15/03/2021,0.1723,14886.72
16/03/2021,0.1566,13530.24
17/03/2021,0.137,11836.8
18/03/2021,0.2305,19915.2
19/03/2021,0.1798,15534.72
20/03/2021,0.2334,20165.76
21/03/2021,0.1778,15361.92
22/03/2021,0.1951,16856.64
23/03/2021,0.1928,16657.92
24/03/2021,0.1911,16511.04
25/03/2021,0.1891,16338.24
26/03/2021,0.1803,15577.92
27/03/2021,0.1527,13193.28
28/03/2021,0.1612,13927.68
29/03/2021,0.1571,13573.44
30/03/2021,0.1707,14748.48
31/03/2021,0.175,15120
01/04/2021,0.1682,14532.48
02/04/2021,0.1617,13970.88
03/04/2021,0.1733,14973.12
04/04/2021,0.1554,13426.56
05/04/2021,0.1537,13279.68
06/04/2021,0.141,12182.4
07/04/2021,0.117,10108.8
08/04/2021,0.1215,10497.6
09/04/2021,0.1873,16182.72
10/04/2021,0.2533,21885.12
11/04/2021,0.1357,11724.48
12/04/2021,0.1309,11309.76
13/04/2021,0.1218,10523.52
14/04/2021,0.1188,10264.32
15/04/2021,0.2591,22386.24
16/04/2021,0.2036,17591.04
17/04/2021,0.151,13046.4
18/04/2021,0.1446,12493.44
19/04/2021,0.1459,12605.76
20/04/2021,0.1453,12553.92
21/04/2021,0.1285,11102.4
22/04/2021,0.355,30672
23/04/2021,0.0479,4138.56
24/04/2021,0.0115,993.6
25/04/2021,0.015,1296
26/04/2021,0.0709,6125.76
27/04/2021,0.0168,1451.52
28/04/2021,0.0002,17.28
29/04/2021,0,0
