Variable,Date,Value,Unit
Electrical_Conductivity_20degC,31/01/06,4980,µS/cm
Nitrate,31/01/06,15,mg/l NO3
Phosphate,31/01/06,0,mg PO4/L
Electrical_Conductivity_20degC,18/04/06,3950,µS/cm
Nitrate,18/04/06,15,mg/l NO3
Phosphate,18/04/06,2,mg PO4/L
Electrical_Conductivity_20degC,31/01/07,9310,µS/cm
Electrical_Conductivity_20degC,05/06/07,13160,µS/cm
Electrical_Conductivity_20degC,19/07/07,12150,µS/cm
Nitrate,19/07/07,82,mg/l NO3
Phosphate,19/07/07,8.62,mg PO4/L
Electrical_Conductivity_20degC,13/11/07,11360,µS/cm
Electrical_Conductivity_20degC,19/02/08,9260,µS/cm
Nitrate,19/02/08,80,mg/l NO3
Phosphate,19/02/08,3.45,mg PO4/L
Electrical_Conductivity_20degC,11/03/08,11460,µS/cm
Electrical_Conductivity_20degC,26/11/08,12890,µS/cm
Electrical_Conductivity_20degC,23/03/09,13350,µS/cm
Electrical_Conductivity_20degC,25/03/09,11450,µS/cm
Nitrate,25/03/09,221,mg/l NO3
Phosphate,25/03/09,0.51,mg PO4/L
Electrical_Conductivity_20degC,22/07/09,10060,µS/cm
Electrical_Conductivity_20degC,12/08/09,7700,µS/cm
Electrical_Conductivity_20degC,23/09/09,7890,µS/cm
Nitrate,23/09/09,99,mg/l NO3
Phosphate,23/09/09,2.52,mg PO4/L
Electrical_Conductivity_20degC,08/10/09,8270,µS/cm
Electrical_Conductivity_20degC,02/11/09,11540,µS/cm
Nitrate,02/11/09,219,mg/l NO3
Phosphate,02/11/09,0.18,mg PO4/L
Electrical_Conductivity_20degC,18/11/09,10500,µS/cm
Electrical_Conductivity_20degC,01/12/09,9710,µS/cm
Electrical_Conductivity_20degC,12/04/10,12660,µS/cm
Nitrate,12/04/10,236,mg/l NO3
Phosphate,12/04/10,0.15,mg PO4/L
Electrical_Conductivity_20degC,12/04/10,10340,µS/cm
Nitrate,12/04/10,224,mg/l NO3
Phosphate,12/04/10,0.2,mg PO4/L
Electrical_Conductivity_20degC,26/05/10,11240,µS/cm
Nitrate,26/05/10,181,mg/l NO3
Phosphate,26/05/10,0.6,mg PO4/L
Electrical_Conductivity_20degC,28/02/11,9450,µS/cm
Nitrate,28/02/11,192,mg/l NO3
Phosphate,28/02/11,0.71,mg PO4/L
Electrical_Conductivity_20degC,08/06/11,8710,µS/cm
Nitrate,08/06/11,136,mg/l NO3
Phosphate,08/06/11,0.21,mg PO4/L
Electrical_Conductivity_20degC,16/01/12,9290,µS/cm
Nitrate,16/01/12,160,mg/l NO3
Phosphate,16/01/12,0.63,mg PO4/L
Electrical_Conductivity_20degC,14/02/12,9350,µS/cm
Nitrate,14/02/12,87,mg/l NO3
Phosphate,14/02/12,0.67,mg PO4/L
Electrical_Conductivity_20degC,14/03/12,11700,µS/cm
Nitrate,14/03/12,246,mg/l NO3
Phosphate,14/03/12,0.2,mg PO4/L
Electrical_Conductivity_20degC,12/04/12,11400,µS/cm
Nitrate,12/04/12,190,mg/l NO3
Phosphate,12/04/12,0.34,mg PO4/L
Electrical_Conductivity_20degC,10/05/12,11900,µS/cm
Nitrate,10/05/12,189,mg/l NO3
Phosphate,10/05/12,0.05,mg PO4/L
Electrical_Conductivity_20degC,06/06/12,11220,µS/cm
Nitrate,06/06/12,155,mg/l NO3
Phosphate,06/06/12,0.74,mg PO4/L
Electrical_Conductivity_20degC,06/06/12,11200,µS/cm
Nitrate,06/06/12,143,mg/l NO3
Phosphate,06/06/12,0.55,mg PO4/L
Electrical_Conductivity_20degC,03/07/12,13409,µS/cm
Nitrate,03/07/12,147,mg/l NO3
Phosphate,03/07/12,0,mg PO4/L
Electrical_Conductivity_20degC,04/07/12,12100,µS/cm
Nitrate,04/07/12,155,mg/l NO3
Phosphate,04/07/12,0.09,mg PO4/L
Electrical_Conductivity_20degC,06/08/12,9750,µS/cm
Nitrate,06/08/12,120,mg/l NO3
Phosphate,06/08/12,1.53,mg PO4/L
Electrical_Conductivity_20degC,12/09/12,11000,µS/cm
Nitrate,12/09/12,138,mg/l NO3
Phosphate,12/09/12,0,mg PO4/L
Electrical_Conductivity_20degC,17/10/12,12300,µS/cm
Nitrate,17/10/12,233,mg/l NO3
Phosphate,17/10/12,0,mg PO4/L
Nitrate,12/11/12,72.8,mg/l NO3
Phosphate,12/11/12,1.32,mg PO4/L
Electrical_Conductivity_20degC,12/11/12,6280,µS/cm
Nitrate,12/11/12,79.6,mg/l NO3
Phosphate,12/11/12,0.96,mg PO4/L
Electrical_Conductivity_20degC,19/12/12,11200,µS/cm
Nitrate,19/12/12,272,mg/l NO3
Phosphate,19/12/12,0.29,mg PO4/L
Electrical_Conductivity_20degC,12/07/13,17510,µS/cm
Nitrate,12/07/13,262,mg/l NO3
Phosphate,12/07/13,0.4,mg PO4/L
Electrical_Conductivity_20degC,24/07/13,11250,µS/cm
Nitrate,24/07/13,139,mg/l NO3
Phosphate,24/07/13,0.06,mg PO4/L
Electrical_Conductivity_20degC,25/07/13,8320,µS/cm
Nitrate,25/07/13,106,mg/l NO3
Phosphate,25/07/13,0.31,mg PO4/L
Electrical_Conductivity_20degC,21/08/13,9250,µS/cm
Nitrate,21/08/13,23,mg/l NO3
Phosphate,21/08/13,0.69,mg PO4/L
Electrical_Conductivity_20degC,18/09/13,12900,µS/cm
Nitrate,18/09/13,202,mg/l NO3
Phosphate,18/09/13,0.32,mg PO4/L
Electrical_Conductivity_20degC,31/10/13,11700,µS/cm
Nitrate,31/10/13,188,mg/l NO3
Phosphate,31/10/13,0.16,mg PO4/L
Electrical_Conductivity_20degC,25/11/13,13500,µS/cm
Nitrate,25/11/13,249,mg/l NO3
Phosphate,25/11/13,0.21,mg PO4/L
Electrical_Conductivity_20degC,15/01/14,9140,µS/cm
Nitrate,15/01/14,181,mg/l NO3
Phosphate,15/01/14,0.8,mg PO4/L
Electrical_Conductivity_20degC,12/03/14,11700,µS/cm
Nitrate,12/03/14,60.8,mg/l NO3
Phosphate,12/03/14,1,mg PO4/L
Electrical_Conductivity_20degC,13/05/14,13300,µS/cm
Nitrate,13/05/14,241,mg/l NO3
Phosphate,13/05/14,0,mg PO4/L
Electrical_Conductivity_20degC,14/07/14,14930,µS/cm
Nitrate,14/07/14,210,mg/l NO3
Phosphate,14/07/14,0.07,mg PO4/L
Electrical_Conductivity_20degC,29/09/14,9470,µS/cm
Nitrate,29/09/14,121.41,mg/l NO3
Phosphate,29/09/14,0,mg PO4/L
Electrical_Conductivity_20degC,25/11/14,17980,µS/cm
Nitrate,25/11/14,248.3,mg/l NO3
Phosphate,25/11/14,0,mg PO4/L
Electrical_Conductivity_20degC,28/01/15,16520,µS/cm
Nitrate,28/01/15,257.86,mg/l NO3
Phosphate,28/01/15,0,mg PO4/L
Electrical_Conductivity_20degC,25/03/15,10660,µS/cm
Nitrate,25/03/15,243.92,mg/l NO3
Phosphate,25/03/15,0,mg PO4/L
Electrical_Conductivity_20degC,13/05/15,13610,µS/cm
Nitrate,13/05/15,224.38,mg/l NO3
Phosphate,13/05/15,0,mg PO4/L
Electrical_Conductivity_20degC,19/05/15,12900,µS/cm
Nitrate,19/05/15,231,mg/l NO3
Phosphate,19/05/15,0.07,mg PO4/L
Electrical_Conductivity_20degC,08/07/15,16480,µS/cm
Nitrate,08/07/15,224.98,mg/l NO3
Phosphate,08/07/15,0,mg PO4/L
Electrical_Conductivity_20degC,22/09/15,12190,µS/cm
Nitrate,22/09/15,205.58,mg/l NO3
Phosphate,22/09/15,0,mg PO4/L
Electrical_Conductivity_20degC,22/10/15,11380,µS/cm
Nitrate,22/10/15,214.34,mg/l NO3
Phosphate,22/10/15,0.31,mg PO4/L
Electrical_Conductivity_20degC,16/11/15,7410,µS/cm
Nitrate,16/11/15,241.7,mg/l NO3
Phosphate,16/11/15,0.36,mg PO4/L
Electrical_Conductivity_20degC,30/11/15,13840,µS/cm
Nitrate,30/11/15,175,mg/l NO3
Phosphate,30/11/15,0,mg PO4/L
Electrical_Conductivity_20degC,15/12/15,16780,µS/cm
Nitrate,15/12/15,234,mg/l NO3
Phosphate,15/12/15,0.43,mg PO4/L
Electrical_Conductivity_20degC,19/01/16,17800,µS/cm
Nitrate,19/01/16,235,mg/l NO3
Phosphate,19/01/16,0.79,mg PO4/L
Electrical_Conductivity_20degC,01/02/16,8450,µS/cm
Electrical_Conductivity_20degC,02/02/16,8570,µS/cm
Electrical_Conductivity_20degC,15/03/16,18410,µS/cm
Nitrate,15/03/16,220,mg/l NO3
Phosphate,15/03/16,0.07,mg PO4/L
Electrical_Conductivity_20degC,17/05/16,18140,µS/cm
Nitrate,17/05/16,241,mg/l NO3
Phosphate,17/05/16,0.75,mg PO4/L
Electrical_Conductivity_20degC,15/06/16,16820,µS/cm
Nitrate,15/06/16,87,mg/l NO3
Phosphate,15/06/16,0.36,mg PO4/L
Electrical_Conductivity_20degC,14/07/16,17510,µS/cm
Nitrate,14/07/16,280,mg/l NO3
Phosphate,14/07/16,0.54,mg PO4/L
Electrical_Conductivity_20degC,08/08/16,14960,µS/cm
Phosphate,08/08/16,0.32,mg PO4/L
Electrical_Conductivity_20degC,10/04/17,11430,µS/cm
Nitrate,10/04/17,163,mg/l NO3
Phosphate,10/04/17,0,mg PO4/L
Electrical_Conductivity_20degC,25/04/17,12980,µS/cm
Nitrate,25/04/17,182,mg/l NO3
Phosphate,25/04/17,0,mg PO4/L
Electrical_Conductivity_20degC,08/05/17,12800,µS/cm
Nitrate,08/05/17,191,mg/l NO3
Phosphate,08/05/17,0.27,mg PO4/L
Electrical_Conductivity_20degC,08/05/17,12570,µS/cm
Nitrate,08/05/17,182,mg/l NO3
Phosphate,08/05/17,0,mg PO4/L
Electrical_Conductivity_20degC,24/05/17,12770,µS/cm
Nitrate,24/05/17,182,mg/l NO3
Phosphate,24/05/17,0,mg PO4/L
Electrical_Conductivity_20degC,29/05/17,13900,µS/cm
Nitrate,29/05/17,164,mg/l NO3
Phosphate,29/05/17,0.1,mg PO4/L
Electrical_Conductivity_20degC,07/06/17,14100,µS/cm
Nitrate,07/06/17,183,mg/l NO3
Phosphate,07/06/17,0,mg PO4/L
Electrical_Conductivity_20degC,23/06/17,13480,µS/cm
Electrical_Conductivity_20degC,04/07/17,13930,µS/cm
Nitrate,04/07/17,114,mg/l NO3
Phosphate,04/07/17,0.46,mg PO4/L
Electrical_Conductivity_20degC,12/07/17,12820,µS/cm
Nitrate,12/07/17,153,mg/l NO3
Phosphate,12/07/17,0.55,mg PO4/L
Electrical_Conductivity_20degC,12/07/17,17370,µS/cm
Nitrate,12/07/17,108,mg/l NO3
Phosphate,12/07/17,0,mg PO4/L
Electrical_Conductivity_20degC,20/07/17,13880,µS/cm
Nitrate,20/07/17,193,mg/l NO3
Phosphate,20/07/17,0,mg PO4/L
Electrical_Conductivity_20degC,24/07/17,14900,µS/cm
Nitrate,24/07/17,137,mg/l NO3
Phosphate,24/07/17,0.23,mg PO4/L
Electrical_Conductivity_20degC,02/08/17,12350,µS/cm
Nitrate,02/08/17,175,mg/l NO3
Phosphate,02/08/17,0,mg PO4/L
Electrical_Conductivity_20degC,17/08/17,12340,µS/cm
Nitrate,17/08/17,171,mg/l NO3
Phosphate,17/08/17,0,mg PO4/L
Electrical_Conductivity_20degC,04/09/17,10220,µS/cm
Nitrate,04/09/17,166,mg/l NO3
Phosphate,04/09/17,0.58,mg PO4/L
Electrical_Conductivity_20degC,21/09/17,10700,µS/cm
Nitrate,21/09/17,166,mg/l NO3
Phosphate,21/09/17,0,mg PO4/L
Electrical_Conductivity_20degC,05/10/17,10150,µS/cm
Nitrate,05/10/17,170,mg/l NO3
Phosphate,05/10/17,0,mg PO4/L
Electrical_Conductivity_20degC,17/10/17,11370,µS/cm
Nitrate,17/10/17,189,mg/l NO3
Phosphate,17/10/17,0,mg PO4/L
Electrical_Conductivity_20degC,23/10/17,10600,µS/cm
Nitrate,23/10/17,150,mg/l NO3
Phosphate,23/10/17,0.25,mg PO4/L
Electrical_Conductivity_20degC,26/10/17,11900,µS/cm
Nitrate,26/10/17,311,mg/l NO3
Phosphate,26/10/17,0.22,mg PO4/L
Electrical_Conductivity_20degC,27/10/17,10380,µS/cm
Nitrate,27/10/17,148,mg/l NO3
Phosphate,27/10/17,0,mg PO4/L
Electrical_Conductivity_20degC,06/11/17,8600,µS/cm
Nitrate,06/11/17,180,mg/l NO3
Phosphate,06/11/17,0.38,mg PO4/L
Electrical_Conductivity_20degC,08/11/17,11580,µS/cm
Nitrate,08/11/17,195,mg/l NO3
Phosphate,08/11/17,0,mg PO4/L
Electrical_Conductivity_20degC,23/11/17,9900,µS/cm
Nitrate,23/11/17,162,mg/l NO3
Phosphate,23/11/17,0,mg PO4/L
Nitrate,05/12/17,165,mg/l NO3
Phosphate,05/12/17,0,mg PO4/L
Nitrate,18/12/17,166,mg/l NO3
Phosphate,18/12/17,0,mg PO4/L
Electrical_Conductivity_20degC,19/12/17,16600,µS/cm
Nitrate,19/12/17,165,mg/l NO3
Phosphate,19/12/17,0,mg PO4/L
Electrical_Conductivity_20degC,03/01/18,9650,µS/cm
Nitrate,03/01/18,188,mg/l NO3
Phosphate,03/01/18,0,mg PO4/L
Nitrate,17/01/18,179,mg/l NO3
Electrical_Conductivity_20degC,02/02/18,8090,µS/cm
Nitrate,02/02/18,124,mg/l NO3
Phosphate,02/02/18,0,mg PO4/L
Electrical_Conductivity_20degC,16/02/18,8620,µS/cm
Nitrate,16/02/18,152,mg/l NO3
Phosphate,16/02/18,0,mg PO4/L
Electrical_Conductivity_20degC,19/02/18,8450,µS/cm
Nitrate,19/02/18,167,mg/l NO3
Phosphate,19/02/18,0,mg PO4/L
Electrical_Conductivity_20degC,06/03/18,9650,µS/cm
Nitrate,06/03/18,186,mg/l NO3
Phosphate,06/03/18,0,mg PO4/L
Electrical_Conductivity_20degC,16/03/18,8610,µS/cm
Nitrate,16/03/18,146,mg/l NO3
Phosphate,16/03/18,0,mg PO4/L
Electrical_Conductivity_20degC,28/03/18,10600,µS/cm
Nitrate,28/03/18,190,mg/l NO3
Phosphate,28/03/18,0,mg PO4/L
Electrical_Conductivity_20degC,11/04/18,11100,µS/cm
Nitrate,11/04/18,174,mg/l NO3
Phosphate,11/04/18,0,mg PO4/L
Electrical_Conductivity_20degC,16/04/18,9620,µS/cm
Nitrate,16/04/18,192,mg/l NO3
Phosphate,16/04/18,0,mg PO4/L
Nitrate,18/04/18,342,mg/l NO3
Phosphate,18/04/18,0,mg PO4/L
Electrical_Conductivity_20degC,26/04/18,9520,µS/cm
Nitrate,26/04/18,131,mg/l NO3
Phosphate,26/04/18,0,mg PO4/L
Nitrate,02/05/18,71.2,mg/l NO3
Phosphate,02/05/18,0,mg PO4/L
Electrical_Conductivity_20degC,08/05/18,8970,µS/cm
Nitrate,08/05/18,112,mg/l NO3
Phosphate,08/05/18,0,mg PO4/l
Electrical_Conductivity_20degC,11/05/18,8720,µS/cm
Nitrate,11/05/18,115,mg/l NO3
Phosphate,11/05/18,0,mg PO4/L
Electrical_Conductivity_20degC,28/05/18,8820,µS/cm
Nitrate,28/05/18,112,mg/l NO3
Phosphate,28/05/18,0,mg PO4/L
Electrical_Conductivity_20degC,11/06/18,8190,µS/cm
Nitrate,11/06/18,98,mg/l NO3
Phosphate,11/06/18,0,mg PO4/L
Electrical_Conductivity_20degC,12/06/18,9260,µS/cm
Nitrate,12/06/18,110,mg/l NO3
Phosphate,12/06/18,0,mg PO4/l
Electrical_Conductivity_20degC,25/06/18,13030,µS/cm
Nitrate,25/06/18,218,mg/l NO3
Phosphate,25/06/18,1.32,mg PO4/L
Electrical_Conductivity_20degC,09/07/18,9020,µS/cm
Nitrate,09/07/18,94.8,mg/l NO3
Phosphate,09/07/18,0,mg PO4/L
Electrical_Conductivity_20degC,17/07/18,9270,µS/cm
Nitrate,17/07/18,88,mg/l NO3
Phosphate,17/07/18,0,mg PO4/l
Electrical_Conductivity_20degC,23/07/18,8860,µS/cm
Nitrate,23/07/18,92,mg/l NO3
Phosphate,23/07/18,0,mg PO4/L
Electrical_Conductivity_20degC,06/08/18,8860,µS/cm
Nitrate,06/08/18,97.2,mg/l NO3
Phosphate,06/08/18,0,mg PO4/L
Electrical_Conductivity_20degC,16/08/18,10680,µS/cm
Nitrate,16/08/18,157,mg/l NO3
Phosphate,16/08/18,0.08,mg PO4/l
Electrical_Conductivity_20degC,20/08/18,9470,µS/cm
Nitrate,20/08/18,154,mg/l NO3
Phosphate,20/08/18,0,mg PO4/L
Electrical_Conductivity_20degC,03/09/18,8760,µS/cm
Nitrate,03/09/18,114,mg/l NO3
Phosphate,03/09/18,0,mg PO4/L
Electrical_Conductivity_20degC,12/09/18,6330,µS/cm
Nitrate,12/09/18,86,mg/l NO3
Phosphate,12/09/18,0.21,mg PO4/l
Electrical_Conductivity_20degC,17/09/18,6330,µS/cm
Nitrate,17/09/18,90,mg/l NO3
Phosphate,17/09/18,1.13,mg PO4/L
Electrical_Conductivity_20degC,01/10/18,7790,µS/cm
Nitrate,01/10/18,120,mg/l NO3
Phosphate,01/10/18,0,mg PO4/L
Electrical_Conductivity_20degC,15/10/18,3710,µS/cm
Nitrate,15/10/18,47.2,mg/l NO3
Phosphate,15/10/18,1.17,mg PO4/L
Electrical_Conductivity_20degC,29/10/18,8020,µS/cm
Nitrate,29/10/18,152,mg/l NO3
Phosphate,29/10/18,0,mg PO4/L
Electrical_Conductivity_20degC,29/10/18,10332,µS/cm
Nitrate,29/10/18,170,mg/l NO3
Phosphate,29/10/18,0.09,mg PO4/l
Electrical_Conductivity_20degC,08/11/18,9720,µS/cm
Nitrate,08/11/18,164,mg/l NO3
Phosphate,08/11/18,0.18,mg PO4/l
Electrical_Conductivity_20degC,12/11/18,8260,µS/cm
Nitrate,12/11/18,187,mg/l NO3
Phosphate,12/11/18,0,mg PO4/L
Electrical_Conductivity_20degC,26/11/18,6640,µS/cm
Nitrate,26/11/18,127,mg/l NO3
Phosphate,26/11/18,0.86,mg PO4/L
Electrical_Conductivity_20degC,12/12/18,7800,µS/cm
Nitrate,12/12/18,133,mg/l NO3
Phosphate,12/12/18,0,mg PO4/L
Electrical_Conductivity_20degC,21/12/18,8030,µS/cm
Nitrate,21/12/18,93,mg/l NO3
Phosphate,21/12/18,0.04,mg PO4/l
Electrical_Conductivity_20degC,26/12/18,7940,µS/cm
Nitrate,26/12/18,149,mg/l NO3
Phosphate,26/12/18,0,mg PO4/L
Electrical_Conductivity_20degC,09/01/19,7790,µS/cm
Nitrate,09/01/19,147,mg/l NO3
Phosphate,09/01/19,0,mg PO4/L
Electrical_Conductivity_20degC,17/01/19,9020,µS/cm
Nitrate,17/01/19,136,mg/l NO3
Phosphate,17/01/19,0.05,mg PO4/L
Electrical_Conductivity_20degC,21/01/19,7480,µS/cm
Nitrate,21/01/19,137,mg/l NO3
Phosphate,21/01/19,0,mg PO4/L
Electrical_Conductivity_20degC,24/01/19,6190,µS/cm
Nitrate,24/01/19,162,mg/l NO3
Electrical_Conductivity_20degC,29/01/19,6500,µS/cm
Nitrate,29/01/19,146,mg/l NO3
Electrical_Conductivity_20degC,05/02/19,9530,µS/cm
Nitrate,05/02/19,158,mg/l NO3
Electrical_Conductivity_20degC,18/02/19,8580,µS/cm
Nitrate,18/02/19,116,mg/l NO3
Electrical_Conductivity_20degC,18/02/19,9330,µS/cm
Nitrate,18/02/19,193,mg/l NO3
Phosphate,18/02/19,0.06,mg PO4/L
Electrical_Conductivity_20degC,04/03/19,8310,µS/cm
Phosphate,04/03/19,0,mg PO4/L
Electrical_Conductivity_20degC,18/03/19,8916,µS/cm
Nitrate,18/03/19,174,mg/l NO3
Phosphate,18/03/19,0,mg PO4/L
Electrical_Conductivity_20degC,20/03/19,8340,µS/cm
Nitrate,20/03/19,146,mg/l NO3
Phosphate,20/03/19,0,mg PO4/L
Electrical_Conductivity_20degC,01/04/19,5220,µS/cm
Nitrate,01/04/19,83,mg/l NO3
Phosphate,01/04/19,0,mg PO4/L
Electrical_Conductivity_20degC,09/04/19,6378,µS/cm
Nitrate,09/04/19,58,mg/l NO3
Phosphate,09/04/19,0.04,mg PO4/L
Electrical_Conductivity_20degC,15/04/19,7340,µS/cm
Nitrate,15/04/19,128,mg/l NO3
Phosphate,15/04/19,0,mg PO4/L
Electrical_Conductivity_20degC,29/04/19,7180,µS/cm
Nitrate,29/04/19,161,mg/l NO3
Phosphate,29/04/19,0,mg PO4/L
Nitrate,03/05/19,171,mg/l NO3
Phosphate,03/05/19,0,mg PO4/L
Electrical_Conductivity_20degC,13/05/19,7000,µS/cm
Nitrate,13/05/19,148,mg/l NO3
Phosphate,13/05/19,0,mg PO4/L
Electrical_Conductivity_20degC,21/05/19,7920,µS/cm
Nitrate,21/05/19,162,mg/l NO3
Phosphate,21/05/19,0,mg PO4/L
Electrical_Conductivity_20degC,27/05/19,7440,µS/cm
Nitrate,27/05/19,160,mg/l NO3
Phosphate,27/05/19,0,mg PO4/L
Electrical_Conductivity_20degC,12/06/19,7550,µS/cm
Nitrate,12/06/19,143.2,mg/l NO3
Phosphate,12/06/19,0,mg PO4/L
Electrical_Conductivity_20degC,13/06/19,8460,µS/cm
Nitrate,13/06/19,121,mg/l NO3
Phosphate,13/06/19,0,mg PO4/L
Electrical_Conductivity_20degC,24/06/19,7340,µS/cm
Nitrate,24/06/19,125,mg/l NO3
Phosphate,24/06/19,0,mg PO4/L
Electrical_Conductivity_20degC,08/07/19,7290,µS/cm
Nitrate,08/07/19,135,mg/l NO3
Phosphate,08/07/19,0,mg PO4/L
Electrical_Conductivity_20degC,11/07/19,7928,µS/cm
Nitrate,11/07/19,128,mg/l NO3
Phosphate,11/07/19,0,mg PO4/L
Electrical_Conductivity_20degC,22/07/19,7260,µS/cm
Nitrate,22/07/19,140,mg/l NO3
Phosphate,22/07/19,0,mg PO4/L
Electrical_Conductivity_20degC,05/08/19,7270,µS/cm
Nitrate,05/08/19,132,mg/l NO3
Phosphate,05/08/19,0,mg PO4/L
Electrical_Conductivity_20degC,08/08/19,7946,µS/cm
Nitrate,08/08/19,108,mg/l NO3
Phosphate,08/08/19,0.1,mg PO4/L
Electrical_Conductivity_20degC,19/08/19,7310,µS/cm
Nitrate,19/08/19,103,mg/l NO3
Phosphate,19/08/19,0,mg PO4/L
Electrical_Conductivity_20degC,02/09/19,7170,µS/cm
Nitrate,02/09/19,79.2,mg/l NO3
Phosphate,02/09/19,0,mg PO4/L
Electrical_Conductivity_20degC,05/09/19,8120,µS/cm
Nitrate,05/09/19,95,mg/l NO3
Phosphate,05/09/19,0.12,mg PO4/L
Electrical_Conductivity_20degC,02/10/19,6690,µS/cm
Nitrate,02/10/19,97.4,mg/l NO3
Phosphate,02/10/19,0,mg PO4/L
Nitrate,13/10/19,156,mg/l NO3
Phosphate,13/10/19,0,mg PO4/L
Electrical_Conductivity_20degC,15/10/19,7120,µS/cm
Nitrate,15/10/19,150,mg/l NO3
Phosphate,15/10/19,0,mg PO4/L
Electrical_Conductivity_20degC,24/10/19,6500,µS/cm
Nitrate,24/10/19,117,mg/l NO3
Phosphate,24/10/19,0.06,mg PO4/L
Electrical_Conductivity_20degC,30/10/19,6950,µS/cm
Nitrate,30/10/19,152,mg/l NO3
Phosphate,30/10/19,0,mg PO4/L
Electrical_Conductivity_20degC,07/11/19,6610,µS/cm
Nitrate,07/11/19,141,mg/l NO3
Phosphate,07/11/19,0,mg PO4/L
Electrical_Conductivity_20degC,09/11/19,7020,µS/cm
Nitrate,09/11/19,180,mg/l NO3
Phosphate,09/11/19,0,mg PO4/L
Electrical_Conductivity_20degC,11/11/19,7340,µS/cm
Nitrate,11/11/19,176,mg/l NO3
Phosphate,11/11/19,0,mg PO4/L
Electrical_Conductivity_20degC,14/11/19,8750,µS/cm
Nitrate,14/11/19,202,mg/l NO3
Phosphate,14/11/19,0,mg PO4/L
Electrical_Conductivity_20degC,25/11/19,6850,µS/cm
Nitrate,25/11/19,164,mg/l NO3
Phosphate,25/11/19,0,mg PO4/L
Nitrate,27/11/19,158,mg/l NO3
Phosphate,27/11/19,0,mg PO4/L
Electrical_Conductivity_20degC,19/12/19,6953,µS/cm
Nitrate,19/12/19,165.82,mg/l NO3
Phosphate,19/12/19,0.13,mg PO4/L
Electrical_Conductivity_20degC,26/12/19,6120,µS/cm
Nitrate,26/12/19,152,mg/l NO3
Phosphate,26/12/19,0,mg PO4/L
Electrical_Conductivity_20degC,07/01/20,7040,µS/cm
Nitrate,07/01/20,177,mg/l NO3
Phosphate,07/01/20,0,mg PO4/L
Electrical_Conductivity_20degC,20/01/20,2098,µS/cm
Nitrate,20/01/20,34.74,mg/l NO3
Phosphate,20/01/20,0.61,mg PO4/L
Electrical_Conductivity_20degC,24/01/20,6190,µS/cm
Nitrate,24/01/20,162,mg/l NO3
Phosphate,24/01/20,0,mg PO4/L
Electrical_Conductivity_20degC,03/02/20,6980,µS/cm
Nitrate,03/02/20,169,mg/l NO3
Phosphate,03/02/20,0,mg PO4/L
Electrical_Conductivity_20degC,17/02/20,6900,µS/cm
Nitrate,17/02/20,170,mg/l NO3
Phosphate,17/02/20,0,mg PO4/L
Electrical_Conductivity_20degC,27/02/20,6868,µS/cm
Nitrate,27/02/20,171,mg/l NO3
Phosphate,27/02/20,0,mg PO4/L
Electrical_Conductivity_20degC,04/03/20,7280,µS/cm
Nitrate,04/03/20,171,mg/l NO3
Phosphate,04/03/20,0,mg PO4/L
Electrical_Conductivity_20degC,12/03/20,6733,µS/cm
Nitrate,12/03/20,130,mg/l NO3
Phosphate,12/03/20,0.08,mg PO4/L
Electrical_Conductivity_20degC,01/04/20,6050,µS/cm
Nitrate,01/04/20,142,mg/l NO3
Phosphate,01/04/20,0.8,mg PO4/L
Electrical_Conductivity_20degC,16/04/20,5740,µS/cm
Nitrate,16/04/20,107,mg/l NO3
Phosphate,16/04/20,0.64,mg PO4/L
Electrical_Conductivity_20degC,17/04/20,6503,µS/cm
Nitrate,17/04/20,101,mg/l NO3
Phosphate,17/04/20,0.08,mg PO4/L
Electrical_Conductivity_20degC,27/04/20,6640,µS/cm
Nitrate,27/04/20,149,mg/l NO3
Phosphate,27/04/20,0,mg PO4/L
Electrical_Conductivity_20degC,08/05/20,6310,µS/cm
Nitrate,08/05/20,129,mg/l NO3
Phosphate,08/05/20,0,mg PO4/L
