ID_station,Name,Municipality,Date_setup,Latitude,Longitude,Altitude,MarMenor_catchmmet
AL41,La Calavera,Alhama,01/01/1996,37.79223611,-1.41677500,169,N
AL52,Los Palomos,Librilla,28/03/2018,37.89045556,-1.30955833,125,N
CA12,La Palma,Cartagena,25/06/2005,37.68886667,-0.95085833,30,Y
CA21,Corvera,Murcia,01/09/1999,37.83140000,-1.12291389,227,Y
CA42,Balsapintada,Fuente Alamo,01/09/1999,37.74830278,-1.12920556,138,Y
CA52,La Aljorra,Cartagena,01/09/1999,37.67701389,-1.07060556,84,Y
CA73,Los Belones,Cartagena,29/11/2016,37.61115000,-0.80379167,92,Y
CA91,Campillo Abajo,Fuente Alamo,01/01/1996,37.69903333,-1.23804444,175,Y
MU31,La Vereda/Sangonera la Verde,Murcia,18/07/1998,37.89821944,-1.26826389,140,N
MU52,Cabezo Plata,Murcia,18/02/1996,37.97754167,-0.98352500,125,N
MU62,La Alberca,Murcia,01/03/1998,37.94006667,-1.13471944,56,N
TP22,Santiago de la Ribera,San Javier,01/10/1997,37.79169444,-0.81957778,7,Y
TP42,Torre Blanca,Torre Pacheco,01/03/1997,37.77385833,-0.89850556,31,Y
TP52,El Mirador,San Javier,19/03/2009,37.84811944,-0.88354167,91,Y
TP73,Los Infiernos,Torre Pacheco,10/07/1997,37.82389444,-0.93148056,92,Y
TP82,El Jimenado,Torre Pacheco,21/09/2022,37.78330834,1.04564700,112,Y
TP91,Torre Pacheco,Torre Pacheco,08/07/2005,37.74772500,-0.98667222,56,Y
